 2945/0xbe0f208:  fork()		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbe0f208:  select(0x0, 0x0, 0x0, 0x0, 0xBFFFE300)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0x91565d0:  select(0x0, 0x0, 0x0, 0x0, 0xB0183D20)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  socket(0x2, 0x1, 0x0)		 = 6 0
 2945/0x91565d0:  setsockopt(0x6, 0xFFFF, 0x4)		 = 0 0
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 2 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#36
 2945/0x91565d0:  select(0x7, 0x0, 0xB0183828, 0x0, 0xB01838A8)		 = 1 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#56
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 6 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x2)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x6FF5D4, 0x3)		 = 3 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x46FCB4, 0x33)		 = 51 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF4F4, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF614, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF534, 0x2)		 = 2 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  close(0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbe0f208:  select(0x0, 0x0, 0x0, 0x0, 0xBFFFE300)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0xbe0f208:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0x91565d0:  select(0x0, 0x0, 0x0, 0x0, 0xB0183D20)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  socket(0x2, 0x1, 0x0)		 = 6 0
 2945/0x91565d0:  setsockopt(0x6, 0xFFFF, 0x4)		 = 0 0
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 2 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#36
 2945/0x91565d0:  select(0x7, 0x0, 0xB0183828, 0x0, 0xB01838A8)		 = 1 0
 2945/0x91565d0:  connect(0x6, 0xB0183928, 0x10)		 = -1 Err#56
 2945/0x91565d0:  fcntl(0x6, 0x3, 0x0)		 = 6 0
 2945/0x91565d0:  fcntl(0x6, 0x4, 0x2)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x6FF4F4, 0x3)		 = 3 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46F2D4)		 = 0 0
 2945/0x91565d0:  sendto(0x6, 0x46FE44, 0x33)		 = 51 0
 2945/0x91565d0:  __sysctl(0x46F2D4, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF494, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF534, 0x1)		 = 1 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FCD4, 0x2, 0x46FEB4)		 = 0 0
 2945/0x91565d0:  select(0x7, 0xB01837F8, 0xB0183778, 0xB01836F8, 0xB0183878)		 = 1 0
 2945/0x91565d0:  recvfrom(0x6, 0x6FF5D4, 0x2)		 = 2 0
 2945/0x91565d0:  __sysctl(0x46FEB4, 0x2, 0x46FE64)		 = 0 0
 2945/0x91565d0:  close(0x6)		 = 0 0
 2945/0x91565d0:  __sysctl(0x46FE64, 0x2, 0x46FCD4)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
 2945/0xbb2dc80:  select(0x6, 0xB0102428, 0xB01023A8, 0xB0102328, 0xB01024A8)		 = 0 0
